text,intent,satisfaction_score
Thank you! Cancel my scheduled appointment,cancel_appointment,8.796
Whenever possible. Please explain this insurance charge,billing_query,4.811
Much appreciated. Are my test results available,lab_results,9.724
I'm very worried. I have a question about my medical bill,billing_query,1.048
Please explain this insurance charge Okay.,billing_query,5.247
Whenever possible. I need help with a billing dispute,billing_query,6.003
"I'm very worried. I can't make my appointment, cancel it",cancel_appointment,0.000
"I've had a fever and cough for two days, what should I do Okay.",symptom_check,4.789
Please cancel my visit with Dr. Smith I'm very worried.,cancel_appointment,1.513
Are my test results available This is urgent.,lab_results,3.433
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,0.657
Okay. Please explain this insurance charge,billing_query,5.215
I need to book an appointment with my primary care doctor Whenever possible.,book_appointment,7.142
I need to book an appointment with my primary care doctor,book_appointment,5.704
"I have a sore throat and swollen glands That helps, thanks.",symptom_check,8.880
"My child has a rash and a fever, is this serious Not happy with the delay.",symptom_check,2.233
🙂 Please process my prescription refill,prescription_refill,9.347
Cancel my scheduled appointment Thank you!,cancel_appointment,9.346
I have a question about my medical bill Whenever possible.,billing_query,3.962
Not happy with the delay. Are my test results available,lab_results,2.778
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,0.684
I need help with a billing dispute,billing_query,6.029
Can you refill my prescription for insulin Whenever possible.,prescription_refill,5.158
I want to see a doctor about a routine visit Whenever possible.,book_appointment,5.318
This is urgent. I need to book an appointment with my primary care doctor,book_appointment,1.314
"That helps, thanks. I need to cancel my appointment tomorrow",cancel_appointment,9.953
"My child has a rash and a fever, is this serious",symptom_check,4.894
I'm experiencing chest pain and shortness of breath Please respond ASAP.,symptom_check,2.782
I need to book an appointment with my primary care doctor Okay.,book_appointment,5.026
I need to cancel my appointment tomorrow Okay.,cancel_appointment,4.629
This is urgent. Book an appointment for a physical exam,book_appointment,3.572
I need a refill for my blood pressure medication Okay.,prescription_refill,5.748
"Please explain this insurance charge That helps, thanks.",billing_query,9.574
No rush. Can I schedule a checkup for next week,book_appointment,3.979
Please process my prescription refill I'm very worried.,prescription_refill,2.017
Please process my prescription refill,prescription_refill,4.639
I need to book an appointment with my primary care doctor I'm very worried.,book_appointment,3.300
Not happy with the delay. I want to see a doctor about a routine visit,book_appointment,0.781
"I need to book an appointment with my primary care doctor That helps, thanks.",book_appointment,10.000
Book an appointment for a physical exam,book_appointment,6.616
Can you send me my blood test results Please respond ASAP.,lab_results,0.554
"Cancel my scheduled appointment That helps, thanks.",cancel_appointment,8.111
"That helps, thanks. Book an appointment for a physical exam",book_appointment,8.313
Thank you! I need to cancel my appointment tomorrow,cancel_appointment,8.807
Whenever possible. Requesting a refill for my meds,prescription_refill,5.405
No rush. Please explain this insurance charge,billing_query,5.117
Please explain this insurance charge I'm very worried.,billing_query,2.768
Thank you! I'm experiencing chest pain and shortness of breath,symptom_check,9.337
I need to book an appointment with my primary care doctor Okay.,book_appointment,4.397
I need a refill for my blood pressure medication Thank you!,prescription_refill,7.698
Okay. Can I schedule a checkup for next week,book_appointment,6.019
"I can't make my appointment, cancel it I'm very worried.",cancel_appointment,1.529
"I can't make my appointment, cancel it Whenever possible.",cancel_appointment,6.521
"Whenever possible. My child has a rash and a fever, is this serious",symptom_check,5.569
Cancel my scheduled appointment,cancel_appointment,4.975
"I need to book an appointment with my primary care doctor That helps, thanks.",book_appointment,9.653
Please explain this insurance charge This is urgent.,billing_query,0.583
Please explain this insurance charge Much appreciated.,billing_query,9.682
Are my test results available Okay.,lab_results,6.332
"I can't make my appointment, cancel it Please respond ASAP.",cancel_appointment,4.024
Please respond ASAP. Why was I charged for that visit,billing_query,2.564
Cancel my scheduled appointment,cancel_appointment,4.804
Cancel my scheduled appointment I'm very worried.,cancel_appointment,2.269
Can I schedule a checkup for next week Much appreciated.,book_appointment,9.830
Can I schedule a checkup for next week Okay.,book_appointment,4.712
Please cancel my visit with Dr. Smith,cancel_appointment,4.854
"That helps, thanks. Book an appointment for a physical exam",book_appointment,8.104
I want to see a doctor about a routine visit Much appreciated.,book_appointment,8.231
"Much appreciated. My child has a rash and a fever, is this serious",symptom_check,9.591
Please process my prescription refill I'm very worried.,prescription_refill,0.573
This is urgent. I need a refill for my blood pressure medication,prescription_refill,0.356
Much appreciated. I need a refill for my blood pressure medication,prescription_refill,8.979
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,0.095
I have a sore throat and swollen glands No rush.,symptom_check,5.384
Much appreciated. I have a question about my medical bill,billing_query,10.000
Please respond ASAP. Please cancel my visit with Dr. Smith,cancel_appointment,0.794
I want to see a doctor about a routine visit No rush.,book_appointment,4.111
"Please explain this insurance charge That helps, thanks.",billing_query,8.780
Please cancel my visit with Dr. Smith I'm very worried.,cancel_appointment,0.577
Are my test results available Not happy with the delay.,lab_results,1.620
Can I schedule a checkup for next week Whenever possible.,book_appointment,4.956
Please explain this insurance charge Whenever possible.,billing_query,5.091
"Please explain this insurance charge That helps, thanks.",billing_query,8.726
I need a refill for my blood pressure medication Much appreciated.,prescription_refill,7.302
Please process my prescription refill,prescription_refill,3.461
No rush. Have my lab results come in yet,lab_results,6.453
I need to cancel my appointment tomorrow No rush.,cancel_appointment,3.831
Whenever possible. Can you send me my blood test results,lab_results,4.559
I have a question about my medical bill Much appreciated.,billing_query,10.000
Please cancel my visit with Dr. Smith Please respond ASAP.,cancel_appointment,0.509
Have my lab results come in yet This is urgent.,lab_results,4.104
I'm very worried. I need a refill for my blood pressure medication,prescription_refill,0.904
I'm very worried. Book an appointment for a physical exam,book_appointment,1.315
I need to book an appointment with my primary care doctor Okay.,book_appointment,5.366
I want to see a doctor about a routine visit Okay.,book_appointment,5.441
Please cancel my visit with Dr. Smith Not happy with the delay.,cancel_appointment,1.062
I need help with a billing dispute 🙂,billing_query,8.211
I need to book an appointment with my primary care doctor Not happy with the delay.,book_appointment,0.778
Requesting a refill for my meds I'm very worried.,prescription_refill,0.394
I'm experiencing chest pain and shortness of breath Whenever possible.,symptom_check,6.258
I need help with a billing dispute Okay.,billing_query,5.317
I need a refill for my blood pressure medication Thank you!,prescription_refill,9.522
Not happy with the delay. Please cancel my visit with Dr. Smith,cancel_appointment,0.099
Are my test results available,lab_results,6.611
"No rush. I can't make my appointment, cancel it",cancel_appointment,6.473
I'm experiencing chest pain and shortness of breath,symptom_check,4.632
Please respond ASAP. I want to see a doctor about a routine visit,book_appointment,2.159
Okay. Have my lab results come in yet,lab_results,4.977
Thank you! Cancel my scheduled appointment,cancel_appointment,8.876
Please cancel my visit with Dr. Smith,cancel_appointment,4.525
"That helps, thanks. Have my lab results come in yet",lab_results,8.527
Please explain this insurance charge Not happy with the delay.,billing_query,0.979
This is urgent. I want to see a doctor about a routine visit,book_appointment,2.896
Please process my prescription refill Much appreciated.,prescription_refill,9.865
Okay. I want to see a doctor about a routine visit,book_appointment,6.400
"That helps, thanks. I can't make my appointment, cancel it",cancel_appointment,8.947
I need help with a billing dispute No rush.,billing_query,4.587
I need help with a billing dispute Much appreciated.,billing_query,8.639
This is urgent. I need to book an appointment with my primary care doctor,book_appointment,1.278
Please process my prescription refill Okay.,prescription_refill,3.576
Cancel my scheduled appointment,cancel_appointment,4.790
🙂 I want to see a doctor about a routine visit,book_appointment,9.240
I need a refill for my blood pressure medication Much appreciated.,prescription_refill,7.629
"I can't make my appointment, cancel it Whenever possible.",cancel_appointment,5.483
Please respond ASAP. I'm experiencing chest pain and shortness of breath,symptom_check,0.229
"I can't make my appointment, cancel it",cancel_appointment,5.873
No rush. I have a sore throat and swollen glands,symptom_check,3.343
"That helps, thanks. I have a sore throat and swollen glands",symptom_check,8.586
Can I schedule a checkup for next week Whenever possible.,book_appointment,2.984
I need to cancel my appointment tomorrow Please respond ASAP.,cancel_appointment,1.533
🙂 Requesting a refill for my meds,prescription_refill,7.560
"Can you send me my blood test results That helps, thanks.",lab_results,7.484
Why was I charged for that visit This is urgent.,billing_query,1.836
Not happy with the delay. I need to cancel my appointment tomorrow,cancel_appointment,2.184
I need a refill for my blood pressure medication Much appreciated.,prescription_refill,8.026
I need to cancel my appointment tomorrow I'm very worried.,cancel_appointment,0.000
"My child has a rash and a fever, is this serious That helps, thanks.",symptom_check,6.454
"I can't make my appointment, cancel it Please respond ASAP.",cancel_appointment,0.989
I need to book an appointment with my primary care doctor Thank you!,book_appointment,7.900
Requesting a refill for my meds Much appreciated.,prescription_refill,7.966
I need a refill for my blood pressure medication Please respond ASAP.,prescription_refill,2.045
I need to book an appointment with my primary care doctor Not happy with the delay.,book_appointment,1.417
I want to know the outcome of my recent labs I'm very worried.,lab_results,4.096
This is urgent. Cancel my scheduled appointment,cancel_appointment,1.617
Thank you! Can you refill my prescription for insulin,prescription_refill,6.958
I'm very worried. I want to see a doctor about a routine visit,book_appointment,2.011
Whenever possible. I have a question about my medical bill,billing_query,4.044
This is urgent. I need to book an appointment with my primary care doctor,book_appointment,1.399
Okay. I want to see a doctor about a routine visit,book_appointment,6.041
I have a sore throat and swollen glands No rush.,symptom_check,4.300
"That helps, thanks. I've had a fever and cough for two days, what should I do",symptom_check,10.000
This is urgent. I have a sore throat and swollen glands,symptom_check,3.533
Please process my prescription refill Much appreciated.,prescription_refill,7.500
"I need a refill for my blood pressure medication That helps, thanks.",prescription_refill,8.551
Requesting a refill for my meds Whenever possible.,prescription_refill,5.883
Are my test results available Whenever possible.,lab_results,6.438
Okay. Can I schedule a checkup for next week,book_appointment,4.367
I want to know the outcome of my recent labs Not happy with the delay.,lab_results,2.565
Can you refill my prescription for insulin This is urgent.,prescription_refill,3.136
Requesting a refill for my meds Whenever possible.,prescription_refill,6.482
Cancel my scheduled appointment This is urgent.,cancel_appointment,0.130
Thank you! Book an appointment for a physical exam,book_appointment,9.427
"I've had a fever and cough for two days, what should I do That helps, thanks.",symptom_check,7.483
Cancel my scheduled appointment Whenever possible.,cancel_appointment,3.473
I need to book an appointment with my primary care doctor Okay.,book_appointment,5.315
Much appreciated. I need help with a billing dispute,billing_query,8.267
Requesting a refill for my meds 🙂,prescription_refill,7.686
Are my test results available Whenever possible.,lab_results,5.394
I'm experiencing chest pain and shortness of breath No rush.,symptom_check,5.243
I need a refill for my blood pressure medication Not happy with the delay.,prescription_refill,1.062
I need help with a billing dispute Much appreciated.,billing_query,8.402
"I'm very worried. I can't make my appointment, cancel it",cancel_appointment,2.583
Not happy with the delay. Why was I charged for that visit,billing_query,2.279
"My child has a rash and a fever, is this serious 🙂",symptom_check,6.992
Whenever possible. I'm experiencing chest pain and shortness of breath,symptom_check,4.129
Not happy with the delay. Requesting a refill for my meds,prescription_refill,1.008
"I can't make my appointment, cancel it Whenever possible.",cancel_appointment,4.258
🙂 Can I schedule a checkup for next week,book_appointment,7.706
Can I schedule a checkup for next week Much appreciated.,book_appointment,9.843
Can you refill my prescription for insulin Whenever possible.,prescription_refill,5.296
Whenever possible. Can you refill my prescription for insulin,prescription_refill,4.753
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,1.135
"Whenever possible. I can't make my appointment, cancel it",cancel_appointment,4.127
🙂 I have a question about my medical bill,billing_query,7.075
Please process my prescription refill Not happy with the delay.,prescription_refill,3.651
This is urgent. Can I schedule a checkup for next week,book_appointment,2.905
Whenever possible. Are my test results available,lab_results,4.384
"That helps, thanks. Can you send me my blood test results",lab_results,9.400
I need a refill for my blood pressure medication,prescription_refill,5.058
Can you send me my blood test results 🙂,lab_results,9.105
Can I schedule a checkup for next week Okay.,book_appointment,6.422
Please process my prescription refill 🙂,prescription_refill,9.266
I need a refill for my blood pressure medication Thank you!,prescription_refill,8.710
I'm very worried. I need to book an appointment with my primary care doctor,book_appointment,2.310
I need to book an appointment with my primary care doctor Whenever possible.,book_appointment,3.758
Cancel my scheduled appointment I'm very worried.,cancel_appointment,2.086
"I've had a fever and cough for two days, what should I do",symptom_check,5.275
"I've had a fever and cough for two days, what should I do No rush.",symptom_check,5.297
"🙂 I've had a fever and cough for two days, what should I do",symptom_check,7.674
Why was I charged for that visit Whenever possible.,billing_query,6.103
Why was I charged for that visit Thank you!,billing_query,9.579
Are my test results available Not happy with the delay.,lab_results,0.864
I'm experiencing chest pain and shortness of breath Whenever possible.,symptom_check,5.552
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,1.010
"I've had a fever and cough for two days, what should I do Much appreciated.",symptom_check,9.689
I'm very worried. I need to cancel my appointment tomorrow,cancel_appointment,2.804
Please cancel my visit with Dr. Smith Thank you!,cancel_appointment,9.175
I'm very worried. Book an appointment for a physical exam,book_appointment,2.667
Please cancel my visit with Dr. Smith Whenever possible.,cancel_appointment,5.827
"Whenever possible. I can't make my appointment, cancel it",cancel_appointment,5.362
Requesting a refill for my meds Thank you!,prescription_refill,7.470
Please process my prescription refill Thank you!,prescription_refill,9.937
"Are my test results available That helps, thanks.",lab_results,8.575
I have a sore throat and swollen glands Thank you!,symptom_check,8.793
Not happy with the delay. I want to see a doctor about a routine visit,book_appointment,3.159
I need to cancel my appointment tomorrow 🙂,cancel_appointment,7.099
"Please process my prescription refill That helps, thanks.",prescription_refill,9.084
I need to book an appointment with my primary care doctor Whenever possible.,book_appointment,3.861
I need a refill for my blood pressure medication Please respond ASAP.,prescription_refill,0.593
"That helps, thanks. Can you refill my prescription for insulin",prescription_refill,10.000
Requesting a refill for my meds Whenever possible.,prescription_refill,5.118
I need a refill for my blood pressure medication Thank you!,prescription_refill,7.067
Please cancel my visit with Dr. Smith This is urgent.,cancel_appointment,0.665
"My child has a rash and a fever, is this serious",symptom_check,5.987
Can you refill my prescription for insulin No rush.,prescription_refill,5.870
Can I schedule a checkup for next week This is urgent.,book_appointment,1.254
Whenever possible. Have my lab results come in yet,lab_results,6.126
Cancel my scheduled appointment Not happy with the delay.,cancel_appointment,2.336
🙂 I need a refill for my blood pressure medication,prescription_refill,9.514
Why was I charged for that visit 🙂,billing_query,9.529
Okay. I have a question about my medical bill,billing_query,3.575
Cancel my scheduled appointment This is urgent.,cancel_appointment,0.763
"That helps, thanks. I want to know the outcome of my recent labs",lab_results,8.152
Please explain this insurance charge Thank you!,billing_query,8.842
I need to cancel my appointment tomorrow This is urgent.,cancel_appointment,2.556
Cancel my scheduled appointment Not happy with the delay.,cancel_appointment,2.406
I need help with a billing dispute Whenever possible.,billing_query,4.644
Much appreciated. Are my test results available,lab_results,9.833
Have my lab results come in yet Not happy with the delay.,lab_results,1.268
Please explain this insurance charge This is urgent.,billing_query,2.266
Can you send me my blood test results No rush.,lab_results,4.200
Are my test results available Thank you!,lab_results,8.292
"I can't make my appointment, cancel it No rush.",cancel_appointment,4.248
Why was I charged for that visit Thank you!,billing_query,8.409
I want to see a doctor about a routine visit I'm very worried.,book_appointment,3.980
Can you send me my blood test results Not happy with the delay.,lab_results,2.715
Thank you! Please explain this insurance charge,billing_query,8.112
Are my test results available This is urgent.,lab_results,1.075
"Can you refill my prescription for insulin That helps, thanks.",prescription_refill,8.617
Okay. I'm experiencing chest pain and shortness of breath,symptom_check,6.678
Thank you! Please process my prescription refill,prescription_refill,7.094
I'm experiencing chest pain and shortness of breath Much appreciated.,symptom_check,9.657
Cancel my scheduled appointment,cancel_appointment,5.641
"Can you send me my blood test results That helps, thanks.",lab_results,10.000
Not happy with the delay. I have a sore throat and swollen glands,symptom_check,1.731
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,2.390
Why was I charged for that visit 🙂,billing_query,10.000
I have a sore throat and swollen glands Whenever possible.,symptom_check,5.694
"That helps, thanks. Can you refill my prescription for insulin",prescription_refill,7.133
Requesting a refill for my meds This is urgent.,prescription_refill,1.081
Thank you! I want to see a doctor about a routine visit,book_appointment,6.536
"This is urgent. I can't make my appointment, cancel it",cancel_appointment,1.886
This is urgent. I need to book an appointment with my primary care doctor,book_appointment,1.789
I'm very worried. I need help with a billing dispute,billing_query,3.946
Can you send me my blood test results Whenever possible.,lab_results,4.908
Cancel my scheduled appointment This is urgent.,cancel_appointment,4.348
This is urgent. Requesting a refill for my meds,prescription_refill,0.593
"I've had a fever and cough for two days, what should I do This is urgent.",symptom_check,3.690
"Have my lab results come in yet That helps, thanks.",lab_results,9.694
Please cancel my visit with Dr. Smith I'm very worried.,cancel_appointment,1.809
"I can't make my appointment, cancel it Okay.",cancel_appointment,4.818
Book an appointment for a physical exam Much appreciated.,book_appointment,8.684
Cancel my scheduled appointment Okay.,cancel_appointment,3.239
Please cancel my visit with Dr. Smith Thank you!,cancel_appointment,7.960
"My child has a rash and a fever, is this serious I'm very worried.",symptom_check,0.526
I want to know the outcome of my recent labs,lab_results,5.588
Can you refill my prescription for insulin Please respond ASAP.,prescription_refill,2.816
"I want to see a doctor about a routine visit That helps, thanks.",book_appointment,8.094
Not happy with the delay. I need help with a billing dispute,billing_query,0.000
I'm very worried. I'm experiencing chest pain and shortness of breath,symptom_check,0.000
Please process my prescription refill Okay.,prescription_refill,4.766
This is urgent. Can you refill my prescription for insulin,prescription_refill,0.148
Are my test results available Please respond ASAP.,lab_results,1.350
This is urgent. Are my test results available,lab_results,0.000
This is urgent. Can you send me my blood test results,lab_results,0.212
I have a question about my medical bill This is urgent.,billing_query,0.695
Whenever possible. Can you send me my blood test results,lab_results,4.689
I have a sore throat and swollen glands Not happy with the delay.,symptom_check,1.052
I need to book an appointment with my primary care doctor This is urgent.,book_appointment,1.397
Book an appointment for a physical exam 🙂,book_appointment,10.000
I need to cancel my appointment tomorrow I'm very worried.,cancel_appointment,0.557
Thank you! Please process my prescription refill,prescription_refill,8.307
"This is urgent. My child has a rash and a fever, is this serious",symptom_check,0.042
I'm very worried. Are my test results available,lab_results,0.191
"I'm very worried. I can't make my appointment, cancel it",cancel_appointment,4.317
🙂 I need help with a billing dispute,billing_query,8.527
I have a question about my medical bill No rush.,billing_query,3.775
No rush. Cancel my scheduled appointment,cancel_appointment,5.640
I'm experiencing chest pain and shortness of breath Please respond ASAP.,symptom_check,0.131
I have a sore throat and swollen glands Whenever possible.,symptom_check,5.771
Can you refill my prescription for insulin This is urgent.,prescription_refill,2.749
"I've had a fever and cough for two days, what should I do This is urgent.",symptom_check,0.744
"That helps, thanks. Can you send me my blood test results",lab_results,10.000
"I can't make my appointment, cancel it That helps, thanks.",cancel_appointment,9.811
"That helps, thanks. Are my test results available",lab_results,8.272
Are my test results available Okay.,lab_results,5.583
🙂 I have a question about my medical bill,billing_query,7.681
I want to see a doctor about a routine visit Whenever possible.,book_appointment,4.932
Okay. Please process my prescription refill,prescription_refill,5.757
"I've had a fever and cough for two days, what should I do 🙂",symptom_check,6.752
I want to know the outcome of my recent labs No rush.,lab_results,6.105
"My child has a rash and a fever, is this serious No rush.",symptom_check,5.509
Please cancel my visit with Dr. Smith Please respond ASAP.,cancel_appointment,2.486
Can you send me my blood test results Please respond ASAP.,lab_results,2.093
I'm very worried. Cancel my scheduled appointment,cancel_appointment,1.814
I want to see a doctor about a routine visit Not happy with the delay.,book_appointment,3.397
Okay. I need a refill for my blood pressure medication,prescription_refill,5.563
Please cancel my visit with Dr. Smith I'm very worried.,cancel_appointment,2.300
"Please explain this insurance charge That helps, thanks.",billing_query,7.014
I have a sore throat and swollen glands I'm very worried.,symptom_check,0.340
Cancel my scheduled appointment,cancel_appointment,4.739
Much appreciated. I need a refill for my blood pressure medication,prescription_refill,8.602
I'm very worried. Please explain this insurance charge,billing_query,1.885
I need to book an appointment with my primary care doctor,book_appointment,4.666
"This is urgent. I've had a fever and cough for two days, what should I do",symptom_check,1.556
Whenever possible. Book an appointment for a physical exam,book_appointment,6.469
Have my lab results come in yet I'm very worried.,lab_results,4.035
"I can't make my appointment, cancel it Okay.",cancel_appointment,5.569
I need help with a billing dispute Whenever possible.,billing_query,6.138
Have my lab results come in yet Thank you!,lab_results,10.000
Please respond ASAP. Please cancel my visit with Dr. Smith,cancel_appointment,4.039
Have my lab results come in yet,lab_results,5.879
I need help with a billing dispute No rush.,billing_query,3.827
No rush. Cancel my scheduled appointment,cancel_appointment,4.859
I have a sore throat and swollen glands This is urgent.,symptom_check,0.958
Can you refill my prescription for insulin Please respond ASAP.,prescription_refill,2.274
Please cancel my visit with Dr. Smith No rush.,cancel_appointment,4.913
Thank you! Cancel my scheduled appointment,cancel_appointment,9.094
I have a question about my medical bill Whenever possible.,billing_query,4.509
Not happy with the delay. Can you send me my blood test results,lab_results,2.059
Please cancel my visit with Dr. Smith I'm very worried.,cancel_appointment,0.880
I want to know the outcome of my recent labs,lab_results,4.085
"My child has a rash and a fever, is this serious That helps, thanks.",symptom_check,8.209
I want to see a doctor about a routine visit Okay.,book_appointment,5.802
"My child has a rash and a fever, is this serious I'm very worried.",symptom_check,3.513
🙂 I need to cancel my appointment tomorrow,cancel_appointment,9.612
I'm experiencing chest pain and shortness of breath Please respond ASAP.,symptom_check,3.210
Please explain this insurance charge Okay.,billing_query,4.415
I'm very worried. Book an appointment for a physical exam,book_appointment,0.970
"Are my test results available That helps, thanks.",lab_results,9.978
This is urgent. Can you refill my prescription for insulin,prescription_refill,1.573
I need a refill for my blood pressure medication This is urgent.,prescription_refill,2.452
"That helps, thanks. I need to cancel my appointment tomorrow",cancel_appointment,9.117
Requesting a refill for my meds Much appreciated.,prescription_refill,9.021
"Can you send me my blood test results That helps, thanks.",lab_results,7.656
Requesting a refill for my meds This is urgent.,prescription_refill,1.777
I need to cancel my appointment tomorrow,cancel_appointment,5.096
"I can't make my appointment, cancel it 🙂",cancel_appointment,10.000
"🙂 I've had a fever and cough for two days, what should I do",symptom_check,9.572
I need to book an appointment with my primary care doctor No rush.,book_appointment,6.324
Why was I charged for that visit,billing_query,4.941
"I've had a fever and cough for two days, what should I do",symptom_check,5.094
I need to book an appointment with my primary care doctor Whenever possible.,book_appointment,4.850
Can you refill my prescription for insulin Please respond ASAP.,prescription_refill,1.374
I'm very worried. I need a refill for my blood pressure medication,prescription_refill,1.448
I have a question about my medical bill Much appreciated.,billing_query,7.690
"Please process my prescription refill That helps, thanks.",prescription_refill,8.668
Have my lab results come in yet I'm very worried.,lab_results,0.886
Whenever possible. Please explain this insurance charge,billing_query,5.782
"That helps, thanks. I want to see a doctor about a routine visit",book_appointment,8.252
I have a question about my medical bill,billing_query,5.014
Okay. I have a question about my medical bill,billing_query,5.322
I'm very worried. I have a sore throat and swollen glands,symptom_check,2.735
Please process my prescription refill Much appreciated.,prescription_refill,8.130
Thank you! Please cancel my visit with Dr. Smith,cancel_appointment,8.971
This is urgent. I need a refill for my blood pressure medication,prescription_refill,1.033
"Please process my prescription refill That helps, thanks.",prescription_refill,8.394
Whenever possible. I need help with a billing dispute,billing_query,3.932
I'm experiencing chest pain and shortness of breath I'm very worried.,symptom_check,3.394
Please respond ASAP. Requesting a refill for my meds,prescription_refill,1.230
Whenever possible. I have a sore throat and swollen glands,symptom_check,7.015
I have a sore throat and swollen glands Thank you!,symptom_check,10.000
I'm very worried. Book an appointment for a physical exam,book_appointment,1.603
Please cancel my visit with Dr. Smith No rush.,cancel_appointment,5.861
Requesting a refill for my meds Thank you!,prescription_refill,8.520
"Whenever possible. I've had a fever and cough for two days, what should I do",symptom_check,5.625
Why was I charged for that visit Please respond ASAP.,billing_query,0.000
Not happy with the delay. Book an appointment for a physical exam,book_appointment,1.851
"That helps, thanks. I'm experiencing chest pain and shortness of breath",symptom_check,7.272
Are my test results available This is urgent.,lab_results,1.687
I need a refill for my blood pressure medication No rush.,prescription_refill,4.957
Not happy with the delay. I want to see a doctor about a routine visit,book_appointment,2.232
I'm experiencing chest pain and shortness of breath Whenever possible.,symptom_check,4.486
"That helps, thanks. Can I schedule a checkup for next week",book_appointment,7.697
Can I schedule a checkup for next week 🙂,book_appointment,8.524
I need to book an appointment with my primary care doctor,book_appointment,4.411
"That helps, thanks. Why was I charged for that visit",billing_query,7.054
Have my lab results come in yet Okay.,lab_results,4.572
"Please respond ASAP. My child has a rash and a fever, is this serious",symptom_check,0.756
"That helps, thanks. I'm experiencing chest pain and shortness of breath",symptom_check,7.761
I need to cancel my appointment tomorrow This is urgent.,cancel_appointment,0.011
I need to cancel my appointment tomorrow Please respond ASAP.,cancel_appointment,0.750
"That helps, thanks. Can you refill my prescription for insulin",prescription_refill,8.897
Can I schedule a checkup for next week No rush.,book_appointment,3.355
No rush. Cancel my scheduled appointment,cancel_appointment,5.579
Can you send me my blood test results This is urgent.,lab_results,0.942
Cancel my scheduled appointment Please respond ASAP.,cancel_appointment,2.921
Why was I charged for that visit Okay.,billing_query,4.731
I have a sore throat and swollen glands I'm very worried.,symptom_check,0.136
I need to book an appointment with my primary care doctor Whenever possible.,book_appointment,4.271
I'm very worried. Can you refill my prescription for insulin,prescription_refill,0.000
This is urgent. Please explain this insurance charge,billing_query,1.628
🙂 Can you refill my prescription for insulin,prescription_refill,9.385
No rush. Can I schedule a checkup for next week,book_appointment,4.125
I have a sore throat and swollen glands I'm very worried.,symptom_check,2.658
I have a question about my medical bill Please respond ASAP.,billing_query,1.274
"I have a question about my medical bill That helps, thanks.",billing_query,8.375
I want to know the outcome of my recent labs,lab_results,4.709
Can you refill my prescription for insulin Whenever possible.,prescription_refill,3.889
I need to cancel my appointment tomorrow Much appreciated.,cancel_appointment,8.965
This is urgent. I need to cancel my appointment tomorrow,cancel_appointment,2.513
"Please explain this insurance charge That helps, thanks.",billing_query,8.336
This is urgent. Please cancel my visit with Dr. Smith,cancel_appointment,2.923
I'm experiencing chest pain and shortness of breath This is urgent.,symptom_check,0.000
Are my test results available 🙂,lab_results,8.427
Can you send me my blood test results Thank you!,lab_results,9.119
Are my test results available 🙂,lab_results,8.417
I need help with a billing dispute Thank you!,billing_query,9.132
Can I schedule a checkup for next week This is urgent.,book_appointment,1.700
"I can't make my appointment, cancel it Thank you!",cancel_appointment,10.000
Book an appointment for a physical exam,book_appointment,4.941
Can you refill my prescription for insulin This is urgent.,prescription_refill,2.456
Please process my prescription refill Whenever possible.,prescription_refill,6.856
Whenever possible. Cancel my scheduled appointment,cancel_appointment,6.117
"My child has a rash and a fever, is this serious Please respond ASAP.",symptom_check,0.203
"Whenever possible. I can't make my appointment, cancel it",cancel_appointment,5.595
Can you send me my blood test results Not happy with the delay.,lab_results,2.284
"Are my test results available That helps, thanks.",lab_results,9.078
I want to see a doctor about a routine visit Please respond ASAP.,book_appointment,3.123
Can I schedule a checkup for next week Thank you!,book_appointment,9.102
I need help with a billing dispute Okay.,billing_query,4.156
No rush. Cancel my scheduled appointment,cancel_appointment,4.986
Whenever possible. I need a refill for my blood pressure medication,prescription_refill,4.038
🙂 I have a question about my medical bill,billing_query,9.126
Whenever possible. I need a refill for my blood pressure medication,prescription_refill,6.836
"I can't make my appointment, cancel it Please respond ASAP.",cancel_appointment,2.531
Can you send me my blood test results Please respond ASAP.,lab_results,3.903
"Please respond ASAP. I can't make my appointment, cancel it",cancel_appointment,3.360
Whenever possible. Can I schedule a checkup for next week,book_appointment,4.860
Please explain this insurance charge,billing_query,5.359
Are my test results available I'm very worried.,lab_results,1.599
I need to book an appointment with my primary care doctor Okay.,book_appointment,5.930
Cancel my scheduled appointment Please respond ASAP.,cancel_appointment,2.562
Please respond ASAP. Can I schedule a checkup for next week,book_appointment,1.604
Much appreciated. I need a refill for my blood pressure medication,prescription_refill,8.440
I have a question about my medical bill Much appreciated.,billing_query,9.025
"That helps, thanks. My child has a rash and a fever, is this serious",symptom_check,8.535
I need to book an appointment with my primary care doctor 🙂,book_appointment,7.289
I have a question about my medical bill Whenever possible.,billing_query,3.634
🙂 I need to book an appointment with my primary care doctor,book_appointment,7.586
"My child has a rash and a fever, is this serious No rush.",symptom_check,5.547
Have my lab results come in yet Much appreciated.,lab_results,9.972
Okay. Are my test results available,lab_results,3.637
I have a sore throat and swollen glands Please respond ASAP.,symptom_check,2.544
I'm very worried. Have my lab results come in yet,lab_results,0.632
